Movie Selection 1,Movie Selection 2,Movie Selection 3,Movie Genre,Other,Gender,Birth Year
Forrest Gump,Toy Story Series,You've Got Mail,Other,Spahetti Western,Female,1993
Sleepless in Seattle,Philadelphia,Saving Private Ryan,Horror,,Male,87
A League of Their Own,Saving Private Ryan,That Thing You Do!,Thriller,,Other,1997
